"Nº de registo";"Data da alteração";"Denominação";"Nº de contribuinte";"Marcas";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"ERT/DRT";"NUT II";"NUT III";"Contacto (Telef/Telem.)";"Contacto (Email)"
" 5472";"2017-04-19";" Choice Car, S.A.";"504041762";;"Avenida Vasco da Gama nº 780";"4430-247";"Vila Nova de Gaia";"Vila Nova de Gaia";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"220102268";"geral@choicecar.pt"
" 6793";;" DOURO WINE TRAVELLER - DWT, UNIPESSOAL LDA";"514082496";;"Rua Marquês de Ponte de Lima, nº 23 a 23 B, 4º ";"1100-337";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"934753284";"jamesrobertmayor@gmail.com"
" 6886";;" ELEGANTE CONSOANTE UNIPESSOAL LDA";"514155388";;"CAMINHO SESMARIAS CXP 253 A";"8200-385";"Albufeira";"Albufeira";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"911833806";"dormushev2016@gmail.com"
" 6846";;" LINE STAR LIFE, UNIPESSOAL LDA";"513139311";"LINE STAR LIFE";" Lugar Zona Industrial de Olhão, Lote 66";"8700-280";"Olhão";"Olhão";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"961130546";"geral@linestarlife.pt"
" 5919";;" PARADISEPROPOSAL UNIPESSOAL LDA";"513601872";;"Rua do Oceano, Edificio Alagoa 22, subcave Dtª";"8200-163";"Albufeira";"Albufeira";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"962433519";"miguel.salvador.244@gmail.com"
" 6851";;" PORTUGAL SENSATION TRIP TOURS, ACTIVITIES &amp; TRANSFERS, UNIPESSOAL LDA";"514359501";;" Rua D. Inês de Castro, nº 29 ";"2735-283";"Agualva-Cacém";"Sintra";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"916110030";"antunesrma@gmail.com"
" 6884";;" SOMANDO E ANDANDO - TOURS UNIPESSOAL LDA";"514378409";;"Avenida 5 de Outubro, n.º 36, 6º dto";"8000-076";"Faro";"Faro";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"914903337";"somandoeandando@gmail.com"
" 4386";;" STORK TRAVEL, LDA";"510970770";;"Rua Gago Coutinho, n.º 10, 4.º";"8000-353";"Faro";"Faro";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"914615605";"info@algarvesuntransfers.com"
" 6251";;" SUPREME ARGUMENT VIAGENS, UNIPESSOAL LDA";"513428186";;"Estrada Ponta da Piedade, lote n.º25, escritório esquerdo";"8600-531";"Lagos";"Lagos";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"282087509";"info@saude-portugal.com"
" 6335";"2017-06-01";" TÁXI4YOU - TRANSFERS, UNIPESSOAL LDA";"513987738";;"RUA DA NORA BLOCO 3-2º ESQ ";"8600-699";"Lagos";"Lagos";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"919909923";"paulojcjoao@gmail.com"
" 6184";"2017-03-08";" WHITE SIGHTS TRAVEL, LDA";"513892621";;"Rua Júlio Dantas, Edificio Júlio Dantas, Bloco A, 3.º Dto";"8005-254";"Faro";"Faro";"Faro";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"969092481";"heldersilvestre@hotmail.com"
" 6885";;"10.000 Hotels and 10.000 Tours, Unip Lda";"508461502";;"Rua da Vitoria, 25-A";"9500-250";"Ponta Delgada";"Ponta Delgada";"Ilha de São Miguel";"Direcção Regional do Turismo - Secretaria Regional Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";"915943000";"patricia@10000hoteis.com.pt"
" 6819";;"100%PURE MADEIRA, LDA";"514298367";;"ESTRADA DOS COMBATENTES, N.º 5";"9360-507";"Ponta do Sol";"Ponta do Sol";"Ilha da Madeira";"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";"291 617 666";"100puremadeira@gmail.com"
" 2631";"2017-01-03";"1001Evasões - Agência de Viagens e Turismo, Lda.";"507862546";"BEST TRAVEL";"Rua Professor Joaquim Teixeira, nº115 E";"4445-485";"Ermesinde";"Valongo";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"229734040";"ermesinde@besttravel.pt"
" 3246";"2014-01-03";"100rumos (Joao Miguel Moura Unipessoal Lda";"509036074";;"Rua D. António M. Costa Maia, nº 124 - loja 8";"4470-568";"Maia";"Maia";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"931192832";"info@100rumos.com"
" 1798";"2017-04-18";"1970 - Agência de Viagens e Turismo, Lda.";"500988986";;"Av Dr. Antunes Guimarães, 166";"4100-073";"Porto";"Porto";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"226150003";"geral@1970viagens.pt"
" 2903";"2016-12-19";"28 VIAGENS, UNIPESSOAL LDA";"509907067";;"Lugar do Monte - Santão ";"4615-191";"Figueiró (Santiago)";"Amarante";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Tâmega e Sousa";"918901003";"carina@carinetlorenzo.com"
" 5487";;"360 Atlântico, Lda.";"513482334";;"Av.ª Alvaro Cunhal, n.º 1-B";"1750-316";"Lisboa";"Lisboa";"Lisboa";"TURISMO DE LISBOA E VALE DO TEJO";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";"289510500";"dbacexcu01.ex@clubmed.com"
" 2805";"2017-05-25";"3Vitórias - Viagens e Turismo, Lda.";"508945283";;"Largo do Pioledo, Bloco E, R/C Esq";"5000-596";"Vila Real";"Vila Real";"Vila Real";"TURISMO DO DOURO";"Norte";"Douro";"259100020";"geral@3vitorias.pt"
" 2141";"2016-10-12";"4 X 4 - Viagens e Turismo, Lda.";"503511986";;"Rua do Breiner, 50";"4050-124";"Porto";"Porto";"Porto";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Área Metropolitana do Porto";"222076170";"info@4x4viagens.com.pt"
