"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Localização (Latitude)";"Localização (Longitude)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras"
"Estabelecimento Hoteleiro - Hotel";"761";" Albergaria Dom Manuel Hotel";;"**";"Classificado em auditoria";"86";"43";"0";"Areias de Porches";"8400-452";"Porches";"Lagoa";"Faro";"37.114750";"-8.397603";"282313803";"282313266";"albergariadommanuel@sapo.pt";"www.albergariadommanuel.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Sim";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"MANUEL FERREIRA DE OLIVEIRA JUNIOR";
"Aldeamento Turístico";"5620";" ALDEIA DA GALÉ";"ALDEIA DA GALÉ";"***";"Classificado em auditoria";"368";"116";"1";"Estrada dos Salgados-Aldeia da Galé - Vale Rabelho-Guia";"8200-416";"Guia Abf";"Albufeira";"Faro";;;"289583580";"289583589";"aldeiagale@netc.pt";;"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"2015-10-15-&gt;2016-04-15 Ano em causa:2015, ";"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"GALEGARBE-EMPREENDIMENTOS TURISTÍCOS UNIP.LDA";
"Apartamento Turístico";"369";" Apartamentos Turisticos Vila Palmeira";"Vila Palmeira";"****";"Classificado em auditoria";"146";"41";"0";"Estrada da Meia Praia";"8600-315";"Lagos";"Lagos";"Faro";"37.117895";"-8.650489";"282770900";;"vila_palmeira@iol.pt";;"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"2";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"BOUGANLAGOS TERRENOS LAGOS LDA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"6016";" Campo das Abetardas";"Campo das Abetardas";;"Classificado em auditoria";"8";"4";"0";"Lugar de Viseus freguesia Santa Barbara de Padrões Castro Verde";"7780-491";"Santa Bárbara de Padrões";"Castro Verde";"Beja";;;;;"acrosa@aeiou.pt";"em construção";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Baixo Alentejo";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ALVARO COSTA &amp; ROSA, LIMITADA";"Programa de Desenvolvimento Rural (PRODER), "
"Empreendimento de Turismo de Habitação";"4396";" Casa do Fontanario de José Carlos de Oliveira";"CASA DO FONTANARIO";;"Classificado em auditoria";"12";"6";"0";"largo do chafariz novo Dª Maria 1ª";"2510-053";"Óbidos";"Óbidos";"Leiria";"0.000000";"0.000000";"262958356";"262958357";"mail@casadofontanario.net";"www.casadofontanario.net";"TURISMO DO OESTE";"Centro (P)";"Oeste";;"Não";"de época";"0";"Sim";"25";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"JOSE CARLOS DE OLIVEIRA";
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"5310";" CASA DO PARDAL-CASA DE CAMPO";" CASA DO PARDAL-CASA DE CAMPO";;"Classificado em auditoria";"6";"3";"0";"Rua das Amoreiras, S/N – Vale de Maior";"5385-134";"Vale de Gouvinhas";"Mirandela";"Bragança";;;"351966507972";;"rutemedeiros@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"TERESA DO CEU PINTO GUEDES MEDEIROS";"Programa de Desenvolvimento Rural (PRODER), "
"Conjunto Turístico";"5984";" Conjunto Turistico - Saccharum Hotel Resort &amp; SPA";"Saccharum Hotel Resort &amp; SPA";;"Classificado em auditoria";"0";"0";"0";"Rua da Serra d'Água nº1";"9370-083";"Arco da Calheta";"Calheta";"Ilha da Madeira";;;"291820800";"291820801";"geral@saccharumhotel.com";"www.saccharumhotel.com";"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CALHETUR, EMPREENDIMENTOS TURÍSTICOS IMOBILIÁRIOS, LDA.";
"Estabelecimento Hoteleiro - Hotel";"207";" CS Solar da Rede Hotel";"Pousada CS Solar da Rede";"*****";"Classificado em auditoria";"58";"29";"0";"Santa Cristina";"5040-329";"Mesão Frio";"Mesão Frio";"Vila Real";"41.158606";"-7.891772";"254890130";"254890139";"reception.solardarede@cshotelsandresorts.com";"www.cshotelsandresorts.com";"TURISMO DO DOURO";"Norte";"Douro";;"Não";"---";"2";"Sim";"160";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"SOLAR DA REDE SOCIEDADE DE EXPLORA??O TURISTICA E";
"Estabelecimento Hoteleiro - Hotel";"17";" DOM JOSÉ BEACH HOTEL";"HOTEL DOM JOSE";"***";"Classificado em auditoria";"308";"154";"1";"AVENIDA INFANTE DE SAGRES, 143";"8125-157";"Quarteira";"Loulé";"Faro";"37.066069";"-8.099907";"289310210";"289302755";"info@hoteldomjose.com";"www.hoteldomjose.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"1";"Sim";"250";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"SOARES E NETO LDA";
"Estabelecimento Hoteleiro - Hotel";"3104";" HOTEL FRANCIS";;"***";"Classificado em auditoria";"90";"45";"0";"PRAÇA FERNANDO LOPES GRAÇA LOTE 31";"7800-003";"Beja";"Beja";"Beja";;;"284 315500";"284 315501";"reservas@hotel-francis.com";"www.hotel-francis.com";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Baixo Alentejo";;"Não";"---";"1";"Sim";"0";"Não";"Não";"Não";"Não";"Sim";"Não";"Não";;;"JB Sociedade Imobiliária Lda";
